date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR,year,equity,mkPrice
2006-04-27,1107,1765192,1084764,0.57,0.62,0.57,0.59,0.01,118,0.0,29.5,2006,0,0.0
2006-04-28,1107,408802,232427,0.55,0.63,0.55,0.59,0.0,78,0.0,29.5,2006,0,0.0
2006-05-02,1107,448412,278212,0.59,0.63,0.55,0.63,0.04,71,0.0,31.5,2006,0,0.0
2006-05-03,1107,191566,127091,0.64,0.67,0.64,0.67,0.04,84,0.0,0.92,2006,0,0.0
2006-05-04,1107,183320,129857,0.71,0.71,0.71,0.71,0.04,71,1.82,0.97,2006,0,0.0
2006-05-05,1107,243414,182531,0.75,0.75,0.75,0.75,0.04,126,1.92,1.03,2006,0,0.0
2006-05-08,1107,2519387,2011628,0.8,0.8,0.75,0.8,0.05,158,2.05,1.1,2006,0,0.0
2006-05-09,1107,1381542,1174065,0.85,0.85,0.85,0.85,0.05,94,2.18,1.16,2006,0,0.0
2006-05-10,1107,218030,196210,0.9,0.9,0.9,0.9,0.05,71,2.31,1.23,2006,0,0.0
2006-05-11,1107,307842,295514,0.96,0.96,0.96,0.96,0.06,56,2.46,1.32,2006,0,0.0
2006-05-12,1107,3870258,3931874,1.02,1.02,0.96,1.02,0.06,212,2.62,1.4,2006,0,0.0
2006-05-15,1107,1060513,1155944,1.09,1.09,1.09,1.09,0.07,86,2.79,1.49,2006,0,0.0
2006-05-16,1107,318980,370004,1.16,1.16,1.16,1.16,0.07,55,2.97,1.59,2006,0,0.0
2006-05-17,1107,120856,149850,1.24,1.24,1.24,1.24,0.08,44,3.18,1.7,2006,0,0.0
2006-05-18,1107,428668,565829,1.32,1.32,1.32,1.32,0.08,63,3.38,1.81,2006,0,0.0
2006-05-19,1107,359284,506580,1.41,1.41,1.41,1.41,0.09,67,3.62,1.93,2006,0,0.0
2006-05-22,1107,149842,224753,1.5,1.5,1.5,1.5,0.09,70,3.85,2.05,2006,0,0.0
2006-05-23,1107,3221400,5030760,1.6,1.6,1.4,1.4,-0.1,209,3.59,1.92,2006,0,0.0
2006-05-24,1107,75465,98854,1.31,1.31,1.31,1.31,-0.09,18,3.36,1.79,2006,0,0.0
2006-05-25,1107,54000,65880,1.22,1.22,1.22,1.22,-0.09,5,3.13,1.67,2006,0,0.0
2006-05-26,1107,98000,111720,1.14,1.14,1.14,1.14,-0.08,5,2.92,1.56,2006,0,0.0
2006-05-29,1107,527400,564318,1.07,1.07,1.07,1.07,-0.07,28,2.74,1.47,2006,0,0.0
2006-05-30,1107,2426050,2444890,1.0,1.14,1.0,1.0,-0.07,148,2.56,1.37,2006,0,0.0
2006-06-01,1107,791106,776604,1.07,1.07,0.93,0.97,-0.03,76,2.49,1.33,2006,0,0.0
2006-06-02,1107,509898,480763,0.92,0.99,0.92,0.94,-0.03,66,2.41,1.29,2006,0,0.0
2006-06-05,1107,1059000,949790,0.92,0.97,0.88,0.88,-0.06,48,2.26,1.21,2006,0,0.0
2006-06-06,1107,283000,236140,0.82,0.88,0.82,0.82,-0.06,26,2.1,1.12,2006,0,0.0
2006-06-07,1107,655200,520334,0.77,0.87,0.77,0.77,-0.05,38,1.97,1.05,2006,0,0.0
2006-06-08,1107,674025,486788,0.72,0.73,0.72,0.72,-0.05,30,1.85,0.99,2006,0,0.0
2006-06-09,1107,584608,392255,0.67,0.72,0.67,0.72,0.0,34,1.85,0.99,2006,0,0.0
2006-06-12,1107,131000,98720,0.74,0.77,0.74,0.77,0.05,16,1.97,1.05,2006,0,0.0
2006-06-13,1107,52843,43323,0.82,0.82,0.82,0.82,0.05,21,2.1,1.12,2006,0,0.0
2006-06-14,1107,28580,24862,0.87,0.87,0.87,0.87,0.05,12,2.23,1.19,2006,0,0.0
2006-06-15,1107,38143,35472,0.93,0.93,0.93,0.93,0.06,9,2.38,1.27,2006,0,0.0
2006-06-16,1107,736796,717194,0.95,0.99,0.87,0.99,0.06,71,2.54,1.36,2006,0,0.0
2006-06-19,1107,498837,488287,1.0,1.04,0.93,0.94,-0.05,40,2.41,1.29,2006,0,0.0
2006-06-20,1107,292198,271321,0.9,0.99,0.89,0.89,-0.05,43,2.28,1.22,2006,0,0.0
2006-06-21,1107,6784,5808,0.91,0.91,0.85,0.85,-0.04,7,2.18,1.16,2006,0,0.0
2006-06-22,1107,284538,254725,0.89,0.9,0.85,0.9,0.05,40,2.31,1.23,2006,0,0.0
2006-06-23,1107,136160,128444,0.89,0.96,0.89,0.95,0.05,23,2.44,1.3,2006,0,0.0
2006-06-26,1107,171505,157249,1.0,1.0,0.89,0.89,-0.06,14,2.28,1.22,2006,0,0.0
2006-06-27,1107,134266,123340,0.89,0.95,0.84,0.95,0.06,33,2.44,1.3,2006,0,0.0
2006-06-28,1107,284510,272673,0.89,1.0,0.89,0.89,-0.06,34,2.28,1.22,2006,0,0.0
2006-06-29,1107,51747,46847,0.94,0.94,0.9,0.92,0.03,21,2.36,1.26,2006,0,0.0
2006-06-30,1107,85447,76897,0.9,0.97,0.88,0.97,0.05,30,2.49,1.33,2006,0,0.0
2006-07-03,1107,201820,195314,0.97,0.98,0.91,0.91,-0.06,28,2.33,1.25,2006,0,0.0
2006-07-04,1107,222998,195595,0.94,0.94,0.85,0.88,-0.03,21,2.26,1.21,2006,0,0.0
2006-07-05,1107,165797,151448,0.84,0.93,0.84,0.93,0.05,28,2.38,1.27,2006,0,0.0
2006-07-06,1107,107197,93416,0.87,0.92,0.87,0.88,-0.05,24,2.26,1.21,2006,0,0.0
2006-07-07,1107,79369,68459,0.84,0.92,0.84,0.92,0.04,21,2.36,1.26,2006,0,0.0
2006-07-10,1107,178012,157979,0.94,0.94,0.88,0.88,-0.04,22,2.26,1.21,2006,0,0.0
2006-07-11,1107,38279,32443,0.85,0.86,0.85,0.86,-0.02,18,2.21,1.18,2006,0,0.0
2006-07-12,1107,72361,64051,0.85,0.92,0.85,0.92,0.06,28,2.36,1.26,2006,0,0.0
2006-07-13,1107,160692,143879,0.87,0.94,0.87,0.94,0.02,21,2.41,1.29,2006,0,0.0
2006-07-14,1107,244004,226520,0.94,0.94,0.88,0.9,-0.04,26,2.31,1.23,2006,0,0.0
